4 150 2000
0.612777 1.203461 1.000056 0.367644
0.621233 1.210076 1.054662 0.418051
0.598684 1.129747 1.126332 0.418936
0.624052 1.005000 1.145672 0.426010
0.683245 0.901044 1.119506 0.467575
0.724116 0.861352 1.050111 0.483493
0.777671 0.913330 0.953413 0.454309
0.812905 1.097615 0.851027 0.364106
0.917197 1.384911 0.807798 0.278325
1.058132 1.690163 0.775944 0.243835
1.132828 1.890514 0.754330 0.301318
1.172290 1.932096 0.806660 0.408323
1.135647 1.837591 0.897670 0.525942
0.980618 1.642910 0.968203 0.587846
0.794584 1.455790 0.989817 0.580771
0.662105 1.281900 0.937487 0.492336
0.577544 1.196846 0.881743 0.419820
0.552175 1.178890 0.833963 0.425126
0.600093 1.222362 0.789596 0.502949
0.722707 1.288516 0.802110 0.594036
0.943975 1.368845 0.863541 0.618798
1.189202 1.454845 0.871505 0.586961
1.465435 1.537064 0.774807 0.464922
1.647241 1.582427 0.624641 0.413630
1.652878 1.606998 0.499502 0.407439
1.506306 1.592822 0.451722 0.450772
1.282219 1.539899 0.514291 0.508255
0.924244 1.444449 0.736128 0.575465
0.600093 1.337658 1.081965 0.662131
0.415468 1.237483 1.449417 0.778865
0.330907 1.184560 1.690593 0.849612
0.414059 1.175109 1.740648 0.871721
0.560631 1.205351 1.626886 0.828388
0.708613 1.268670 1.392536 0.681587
0.825589 1.306472 1.167287 0.520635
0.849548 1.316867 0.957964 0.398596
0.787537 1.304581 0.855578 0.389752
0.657877 1.274340 0.833963 0.399480
0.542310 1.238428 0.886294 0.434854
0.439427 1.200626 0.965927 0.544513
0.412649 1.177945 1.062625 0.704580
0.445065 1.177945 1.166149 0.878796
0.560631 1.182670 1.265122 1.074236
0.784718 1.180780 1.319728 1.222807
0.974981 1.185505 1.349306 1.259949
1.075044 1.173219 1.332242 1.197161
1.104641 1.125022 1.268535 1.010563
1.065179 1.060758 1.153635 0.748797
0.970752 1.024846 1.025084 0.527710
0.835455 1.028626 0.904496 0.372065
0.581772 1.072099 0.840789 0.329617
0.421106 1.114626 0.829413 0.376487
0.337954 1.127857 0.865817 0.463153
0.354866 1.098560 0.942037 0.550703
0.485936 1.057923 0.987542 0.571043
0.617005 1.024846 1.000056 0.548935
0.704385 1.004055 0.985267 0.487030
0.769215 0.983264 0.948863 0.410092
0.750894 0.985154 0.905633 0.345535
0.691701 0.980429 0.860128 0.320773
0.667742 0.958693 0.832825 0.336691
0.617005 0.952077 0.832825 0.403017
0.515532 0.936956 0.838514 0.524173
0.398556 0.926561 0.836238 0.670090
